Country,Code,ContinentCode,Year,Health spending per capita,Health spending as percent of GDP,Life expectancy in years,Death rate per 1000 people,Fertility rate births per woman,Prevalence of HIV percent of the population ages 15-49,Cases of Tuberculosis per 100000 people,Hospital beds per 1000 people,Nurse to hospital bed ratio,Doctors per 1000 people,Nurses per 1000 people,Dentists per 1000 people,Pharmacists per 1000 people
Kenya,KEN,AF,2020,,,66.99,5.34,3.37,4.2,259,,,,,,
Kiribati,KIR,OC,2020,,,68.61,6.25,3.49,,425,,,,,,
Kuwait,KWT,AS,2020,,,75.59,2.92,2.07,,19,,,,,,
Kyrgyzstan,KGZ,AS,2020,,,71.8,6.1,3,0.2,105,,,,,,
Laos,LAO,AS,2020,,,68.22,6.32,2.58,0.3,149,,,,,,
Latvia,LVA,EU,2020,,,75.39,15.2,1.55,,23,5.29,,3.34,4.18,0.72,0.87
Lebanon,LBN,AS,2020,,,79,4.57,2.06,0.1,13,,,,,,
Lesotho,LSO,AF,2020,,,54.84,13.69,3.07,21.1,650,,,,,,
Liberia,LBR,AF,2020,,,64.42,7.26,4.18,1.1,314,,,,,,
Libya,LBY,AF,2020,,,73.08,5.12,2.17,0.1,59,,,,,,
Liechtenstein,LIE,EU,2020,,,81.81,8.2,1.46,,,,,,,,
Lithuania,LTU,EU,2020,,,74.93,15.6,1.48,,29,6.01,,4.48,7.81,1.11,1.03
Luxembourg,LUX,EU,2020,,,81.74,7.3,1.37,,5.9,4.19,,,,,
Macao,MAC,AS,2020,,,84.37,4.1,1.24,,64,,,,,,
Madagascar,MDG,AF,2020,,,67.39,5.82,3.98,0.3,238,,,,,,
Malawi,MWI,AF,2020,,,64.69,6.26,4.05,8.1,141,,,,,,
Malaysia,MYS,AS,2020,,,76.31,5.25,1.97,0.4,92,,,,,,
Maldives,MDV,AS,2020,,,79.21,2.73,1.82,,37,,,,,,
Mali,MLI,AF,2020,,,59.69,9.16,5.69,0.9,52,,,,,,
Malta,MLT,EU,2020,,,82.65,7.9,1.13,,36,,,,,,
Mauritania,MRT,AF,2020,,,65.13,7.03,4.45,0.3,87,,,,,,
Mauritius,MUS,AF,2020,,,74.18,8.7,1.44,1.7,12,,,,,,
Mexico,MEX,NA,2020,,,75.13,6.15,2.08,0.4,24,0.99,,2.41,2.91,0.11,
Micronesia,FSM,OC,2020,,,68,6.68,2.97,,75,,,,,,
Moldova,MDA,EU,2020,,,72.01,11.78,1.28,0.8,74,,,,,,
Monaco,MCO,EU,2020,,,,,,,0,,,,,,
Mongolia,MNG,AS,2020,,,70.06,6.35,2.83,0.1,437,,,,,,
Montenegro,MNE,EU,2020,,,75.93,11.7,1.75,0.1,16,,,,,,
Morocco,MAR,AF,2020,,,76.9,5.06,2.35,0.1,98,,,,,,
Mozambique,MOZ,AF,2020,,,61.39,7.95,4.71,11.5,368,,,,,,
Namibia,NAM,AF,2020,,,64.04,7.73,3.29,11.6,460,,,,,,
Nepal,NPL,AS,2020,,,71.07,6.29,1.85,0.1,235,,,,,,
Netherlands,NLD,EU,2020,,,81.41,9.7,1.55,0.2,4.1,2.91,,3.83,11.08,0.57,0.22
New Caledonia,NCL,OC,2020,,,77.77,5.92,1.92,,10,,,,,,
New Zealand,NZL,OC,2020,,,82.06,6.41,1.61,0.1,7.5,2.49,2.51,3.43,10.6,,0.72
Nicaragua,NIC,NA,2020,,,74.7,5.09,2.35,0.2,42,,,,,,
Niger,NER,AF,2020,,,62.79,7.82,6.74,0.2,83,,,,,,
Nigeria,NGA,AF,2020,,,55.02,11.42,5.25,1.3,219,,,,,,
North Korea,PRK,AS,2020,,,72.45,9.31,1.89,,523,,,,,,
North Macedonia,MKD,EU,2020,,,75.69,12.4,1.3,,12,,,,,,
Norway,NOR,EU,2020,,,83.21,7.5,1.48,,3.1,3.4,,5.09,18.01,0.91,0.88
Oman,OMN,AS,2020,,,78.08,2.42,2.78,,7,,,,,,
Pakistan,PAK,AS,2020,,,67.43,6.84,3.39,0.2,259,,,,,,
Palau,PLW,OC,2020,,,,7.6,,,64,,,,,,
Palestine,PS,AS,2020,,,74.21,3.45,3.49,,0.48,,,,,,
Panama,PAN,NA,2020,,,78.68,5.14,2.41,1,32,,,,,,
Papua New Guinea,PNG,OC,2020,,,64.72,7.3,3.48,0.9,441,,,,,,
Paraguay,PRY,SA,2020,,,74.36,5.59,2.38,0.3,48,,,,,,
Peru,PER,SA,2020,,,76.95,5.66,2.21,0.3,116,,,,,,
Philippines,PHL,AS,2020,,,71.36,5.98,2.49,0.2,539,,,,,,
Poland,POL,EU,2020,,,76.6,12.6,1.38,,9.6,6.19,,,,,
Portugal,PRT,EU,2020,,,80.98,12,1.4,0.5,16,3.53,,,,,0.95
Puerto Rico,PRI,NA,2020,,,80.09,9.6,0.9,,1.1,,,,,,
Qatar,QAT,AS,2020,,,80.36,1.29,1.83,0.1,34,,,,,,
Republic of the Congo,COG,AF,2020,,,64.8,6.55,4.32,3.3,379,,,,,,
Romania,ROU,EU,2020,,,74.35,15.4,1.6,0.1,64,,,,,,
Russia,RUS,EU,2020,,,71.34,14.6,1.5,,46,,,,,,
Rwanda,RWA,AF,2020,,,69.33,5.05,3.93,2.5,58,,,,,,
Saint Lucia,LCA,NA,2020,,,76.34,7.33,1.41,,2.2,,,,,,
