Country,Code,ContinentCode,Year,Cost of living index world average = 100,Food price index world average = 100,Fruit price index world average = 100,Vegetable price index world average = 100,Bread and cereal prices world average = 100,Milk cheese and eggs price index world average = 100,Meat price index world average = 100,Fish and seafood prices world average = 100,Alcohol beverage price index world average = 100,Clothing and footwear prices world average = 100,Housing and utilities price index world average  = 100,Furniture and household maintenance prices world average = 100,Healthcare price index world average = 100,Transport prices world average = 100,Hotel and restaurant price index world average = 100,Vehicle prices world average = 100,Communication price index world average = 100,Recreation and culture price index world average = 100,Education service price index world average = 100,Machinery and equipment prices world average = 100
Kuwait,KWT,AS,2017,88.57,119.752,198.11,146.22,104.14,111.68,118.18,95.97,,99.81,74.388,88.42,97.43,71,102.9,87.58,119.53,98.04,148.93,91.59
Kyrgyzstan,KGZ,AS,2017,40.38,67.277,84.57,77.43,65.85,75.58,63.91,81.47,42.88,86.2,12.061,76.9,29.13,54.99,68.42,55.38,29.7,52.91,8.35,90.59
Laos,LAO,AS,2017,53.79,82.267,83.91,89.75,78.01,106.33,80.95,76.24,121.59,47.68,37.887,59.06,22.3,85.52,58.18,122.37,75.22,48.43,17.66,110.3
Latvia,LVA,EU,2017,89.68,104.861,110.55,130.24,100.65,101.68,91.93,126.77,92.84,131.48,83.933,98.49,51.26,102.02,102.56,91.35,79.46,88.67,67.95,90.49
Lesotho,LSO,AF,2017,56.38,76.441,88.64,102.28,73.92,95.14,67.84,75.23,84.86,48.51,38.932,50.46,58.73,65.52,59.4,85.97,147.4,54.4,66.96,131.02
Liberia,LBR,AF,2017,61.04,135.175,95.9,128.62,209.7,213.25,92.84,56.65,148.87,62.36,24.373,51.86,39.82,69.95,55.09,141.69,56.8,54.2,34.27,166.26
Lithuania,LTU,EU,2017,79.09,90.458,95.48,92.91,95.05,86.58,86.85,108.61,81.74,131.98,60.77,95.51,49.17,102.02,86.66,90.53,68.8,77.33,52.61,84.18
Luxembourg,LUX,EU,2017,156.4,143.891,164.46,147.57,149.2,127.61,171.63,165.33,82.67,135.7,230.278,135.73,164.28,124.81,141.12,108.59,130.98,124.3,402.71,94.31
Madagascar,MDG,AF,2017,44.3,66.627,56.39,45.37,84.91,88.58,55.97,89.29,96.86,38.33,30.564,42.8,35.82,63.68,33.01,119.17,95.42,41.34,23.07,137.39
Malawi,MWI,AF,2017,47.49,61.3,49.04,53.88,69.15,97.85,57.17,87.59,100.55,44.81,36.645,43.27,44.06,89.54,49.24,151.52,130.44,57.16,33.67,127.39
Malaysia,MYS,AS,2017,57.56,76.82,87.4,100.39,71.54,92.02,68.92,74.1,186.88,58.76,38.869,54.7,51.61,66.49,39.3,99.45,85.37,50.91,65.5,97.35
Maldives,MDV,AS,2017,91.24,91.287,144.22,203.16,84.77,126.78,73.57,45,,69.65,122.987,93.84,49.28,118.59,50.58,298.82,135.34,81.58,79.09,118.63
Mali,MLI,AF,2017,50.55,73.166,56.31,77.8,72.25,137.34,63.14,65.93,114.18,55.83,19.865,49.31,48.95,72.49,67.27,117.45,168.38,53.27,34.67,124.83
Malta,MLT,EU,2017,101.71,124.766,133.06,149.24,125.84,113.54,119.32,155.32,95.31,133.59,77.504,118.96,91.88,114.37,101.62,110.63,111.12,94.11,128.18,97.99
Mauritania,MRT,AF,2017,49.9,81.623,96.57,105.04,79.41,103.7,70.44,71.62,,31.37,27.181,44.64,42.93,58.56,38.51,87.5,93.85,49.37,29.08,82.03
Mauritius,MUS,AF,2017,74.87,109.309,109.61,176.78,93.84,101.07,126.62,102.83,132.7,77.26,33.682,72.68,68.48,104.55,86.66,138.54,97.51,58.69,87.32,124.48
Mexico,MEX,NA,2017,74.69,88.741,80.82,109.71,106.61,79.38,80.62,109.41,81.13,87.99,82.166,82.68,77.5,85.11,63.31,78.33,60.59,70.1,23.03,93.97
