Country,Code,ContinentCode,Year,Fossil fuels electricity generation billion kilowatthours,Wind electricity generation billion kilowatthours,Solar electricity generation billion kilowatthours,Hydroelectricity generation billion kilowatthours,Nuclear power generation billion kilowatthours,Geothermal electricity generation billion kilowatthours
Samoa,WSM,OC,2020,0.11,0,0,0.04,0,0
Sao Tome and Principe,STP,AF,2020,0.09,0,0,0.01,0,0
Saudi Arabia,SAU,AS,2020,343.7,0,0.5,0,0,0
Senegal,SEN,AF,2020,4.21,0.02,0.3,0.31,0,0
Serbia,SRB,EU,2020,24.45,1.03,0.01,9.66,0,0
Seychelles,SYC,AF,2020,0.53,0,0.01,0,0,0
Sierra Leone,SLE,AF,2020,0.02,0,0.01,0.18,0,0
Singapore,SGP,AS,2020,48.55,0,0.62,0,0,0
Slovakia,SVK,EU,2020,5.49,0,0.66,4.67,15.44,0
Slovenia,SVN,EU,2020,4.46,0.01,0.37,5.24,6.04,0
Solomon Islands,SLB,OC,2020,0.1,0,0,0,0,0
Somalia,SOM,AF,2020,0.35,0.01,0.01,0,0,0
South Africa,ZAF,AF,2020,197.57,5.94,3.6,5.67,11.62,0
South Korea,KOR,AS,2020,357.04,3.15,18.25,7.1,152.33,0
Spain,ESP,EU,2020,82.55,56.27,20.54,33.34,55.79,0
Sri Lanka,LKA,AS,2020,9.72,0.35,0.11,4.9,0,0
Sudan,SDN,AF,2020,6.07,0,0.02,7.75,0,0
Suriname,SUR,SA,2020,0.94,0,0.01,1.36,0,0
Swaziland,SWZ,AF,2020,0.28,0,0,0.16,0,0
Sweden,SWE,EU,2020,1.53,27.53,1.04,71.6,47.26,0
Switzerland,CHE,EU,2020,0.52,0.15,2.52,37.87,22.99,0
Syria,SYR,AS,2020,15.02,0,0,0.75,0,0
Taiwan,TWN,AS,2020,230.23,2.42,6.1,6.18,31.44,0
Tajikistan,TJK,AS,2020,1.62,0,0,17,0,0
Tanzania,TZA,AF,2020,4.66,0,0.09,2.35,0,0
Thailand,THA,AS,2020,147.16,3.08,4.93,4.54,0,0
Togo,TGO,AF,2020,0.43,0,0,0.09,0,0
Tonga,TON,OC,2020,0.06,0,0,0,0,0
Trinidad and Tobago,TTO,NA,2020,8.2,0,0.01,0,0,0
Tunisia,TUN,AF,2020,18.73,0.5,0.25,0.06,0,0
Turkey,TUR,EU,2020,165.04,24.7,11.27,77.39,0,9.93
Turkmenistan,TKM,AS,2020,20.11,0,0,0,0,0
Uganda,UGA,AF,2020,0.06,0,0.07,4.03,0,0
Ukraine,UKR,EU,2020,51.26,1.93,1.64,4.85,76.2,0
United Arab Emirates,ARE,AS,2020,119.49,0,3.78,0,1.56,0
United Kingdom,GBR,EU,2020,113.33,75.61,12.8,7.64,45.67,0
Uruguay,URY,SA,2020,0.26,5.44,0.46,3.95,0,0
USA,USA,NA,2020,2426.72,337.94,130.72,285.27,789.88,15.89
Uzbekistan,UZB,AS,2020,50.93,0,0.01,6.9,0,0
Vanuatu,VUT,OC,2020,0.05,0,0.01,0,0,0
Venezuela,VEN,SA,2020,31.62,0.09,0.01,72,0,0
Vietnam,VNM,AS,2020,145.95,0.72,4.9,51.98,0,0
Yemen,YEM,AS,2020,2.75,0,0.5,0,0,0
Zambia,ZMB,AF,2020,2.08,0,0.15,13.67,0,0
Zimbabwe,ZWE,AF,2020,3.66,0,0.01,7.26,0,0
