Country,Code,ContinentCode,Year,Fossil fuels electricity capacity million kilowatts,Wind electricity capacity million kilowatts,Solar electricity capacity million kilowatts,Hydroelectricity capacity million kilowatts,Nuclear electricity capacity million kilowatts,Geothermal electricity capacity million kilowatts
Qatar,QAT,AS,2020,10.59,0,0.01,0,0,0
Republic of the Congo,COG,AF,2020,0.39,0,0.02,0.22,0,0
Romania,ROU,EU,2020,8.37,3.02,1.39,6.22,1.3,0
Russia,RUS,EU,2020,194.15,0.95,1.43,48.53,28.58,0.08
Rwanda,RWA,AF,2020,0.12,0,0.03,0.11,0,0
Saint Lucia,LCA,NA,2020,0.09,0,0,0,0,0
Saint Vincent and the Grenadines,VCT,NA,2020,0.04,0,0,0.01,0,0
Samoa,WSM,OC,2020,0.02,0,0.01,0.01,0,0
Sao Tome and Principe,STP,AF,2020,0.03,0,0,0,0,0
Saudi Arabia,SAU,AS,2020,76.37,0,0.41,0,0,0
Senegal,SEN,AF,2020,1,0.05,0.16,0.08,0,0
Serbia,SRB,EU,2020,5.41,0.4,0.03,2.48,0,0
Seychelles,SYC,AF,2020,0.15,0.01,0,0,0,0
Sierra Leone,SLE,AF,2020,0.08,0,0,0.06,0,0
Singapore,SGP,AS,2020,11.69,0,0.33,0,0,0
Slovakia,SVK,EU,2020,2.64,0,0.59,1.51,1.84,0
Slovenia,SVN,EU,2020,1.51,0.01,0.27,1.34,0.69,0
Solomon Islands,SLB,OC,2020,0.04,0,0,0,0,0
Somalia,SOM,AF,2020,0.08,0,0.01,0,0,0
South Africa,ZAF,AF,2020,48.38,2.64,5.99,0.68,1.86,0
South Korea,KOR,AS,2020,88.17,1.64,14.58,1.81,23.15,0
Spain,ESP,EU,2020,45.82,27.09,14.09,14.29,7.12,0
Sri Lanka,LKA,AS,2020,2.18,0.25,0.23,1.81,0,0
Sudan,SDN,AF,2020,2.21,0,0.02,1.92,0,0
Suriname,SUR,SA,2020,0.34,0,0.01,0.19,0,0
Swaziland,SWZ,AF,2020,0.12,0,0,0.06,0,0
Sweden,SWE,EU,2020,2.98,9.69,1.42,16.38,6.88,0
Switzerland,CHE,EU,2020,0.26,0.09,3.12,4.19,2.96,0
Syria,SYR,AS,2020,8.57,0,0,1.51,0,0
Taiwan,TWN,AS,2020,41.78,0.85,5.82,2.09,3.87,0
Tajikistan,TJK,AS,2020,0.72,0,0,6.4,0,0
Tanzania,TZA,AF,2020,0.93,0,0.03,0.6,0,0
Thailand,THA,AS,2020,39.73,1.51,2.99,3.51,0,0
Togo,TGO,AF,2020,0.16,0,0,0.05,0,0
Tonga,TON,OC,2020,0.02,0,0.01,0,0,0
Trinidad and Tobago,TTO,NA,2020,2.12,0,0,0,0,0
Tunisia,TUN,AF,2020,5.37,0.24,0.1,0.07,0,0
Turkey,TUR,EU,2020,47.28,8.83,6.67,30.98,0,1.61
Turkmenistan,TKM,AS,2020,5.2,0,0,0.01,0,0
Uganda,UGA,AF,2020,0.2,0,0.08,1.04,1,0
Ukraine,UKR,EU,2020,28.54,1.4,7.33,4.67,13.11,0
United Arab Emirates,ARE,AS,2020,31.29,0,2.54,0,1.35,0
United Kingdom,GBR,EU,2020,53.35,24.67,13.56,1.88,8.92,0
Uruguay,URY,SA,2020,1.61,1.51,0.26,1.54,0,0
USA,USA,NA,2020,731.21,118.38,75.64,79.92,96.5,2.57
Uzbekistan,UZB,AS,2020,14.03,0,0,2.01,0,0
Vanuatu,VUT,OC,2020,0.03,0,0,0,0,0
Venezuela,VEN,SA,2020,17.49,0.07,0.01,15.39,0,0
Vietnam,VNM,AS,2020,30.69,0.6,16.5,17.11,0,0
Yemen,YEM,AS,2020,1.52,0,0.25,0,0,0
Zambia,ZMB,AF,2020,0.52,0,0.1,2.4,0,0
Zimbabwe,ZWE,AF,2020,1.27,0,0.02,1.09,0,0
