Country,Code,ContinentCode,Year,Population size in millions,Population density people per square km,Population ages 65 and above percent of total,Population ages 0-14 percent of total,Female population percent of total,Refugee population,Migrant population percent of total population,Population growth percent
Luxembourg,LUX,EU,2020,0.63,259,14.39,15.56,49.43,5158,,1.67
Macao,MAC,AS,2020,0.65,19737,11.97,14.35,51.94,,,1.38
Madagascar,MDG,AF,2020,27.69,48,3.1,40.06,50.11,112,,2.64
Malawi,MWI,AF,2020,19.13,203,2.64,42.99,50.68,14892,,2.65
Malaysia,MYS,AS,2020,32.37,99,7.18,23.45,48.62,129902,,1.29
Maldives,MDV,AS,2020,0.54,1802,3.59,19.6,36.56,,,1.79
Mali,MLI,AF,2020,20.25,17,2.48,47.01,49.9,47380,,2.97
Malta,MLT,EU,2020,0.52,1610,21.32,14.37,49.85,9168,,2.21
Mauritania,MRT,AF,2020,4.65,5,3.18,39.69,49.78,93607,,2.7
Mauritius,MUS,AF,2020,1.27,624,12.52,16.78,50.66,20,,0
Mexico,MEX,NA,2020,128.93,66,7.62,25.84,51.08,45434,,1.06
Micronesia,FSM,OC,2020,0.12,164,4.39,31.19,49.16,,,1.06
Moldova,MDA,EU,2020,2.62,91,12.49,15.89,52.11,405,,-1.68
Monaco,MCO,EU,2020,0.04,19361,,,,22,,0.71
Mongolia,MNG,AS,2020,3.28,2,4.31,31.09,50.74,,,1.63
Montenegro,MNE,EU,2020,0.62,46,15.77,18.04,50.55,166,,-0.12
Morocco,MAR,AF,2020,36.91,83,7.61,26.77,50.37,6505,,1.2
Mozambique,MOZ,AF,2020,31.26,40,2.86,44.06,51.41,4757,,2.89
Namibia,NAM,AF,2020,2.54,3,3.59,36.84,51.53,3578,,1.84
Nepal,NPL,AS,2020,29.14,203,5.83,28.81,54.19,19555,,1.83
Netherlands,NLD,EU,2020,17.44,518,20.03,15.7,50.18,95897,,0.56
New Caledonia,NCL,OC,2020,0.27,15,9.7,22.11,49.74,,,0.24
New Zealand,NZL,OC,2020,5.09,19,16.37,19.43,50.85,1748,,2.2
Nicaragua,NIC,NA,2020,6.62,55,5.68,29.5,50.72,311,,1.2
Niger,NER,AF,2020,24.21,19,2.6,49.67,49.72,233293,,3.77
Nigeria,NGA,AF,2020,206.14,226,2.74,43.49,49.32,66056,,2.54
North Korea,PRK,AS,2020,25.78,214,9.35,19.84,51.09,,,0.44
North Macedonia,MKD,EU,2020,2.07,82,14.48,16.31,49.98,303,,-0.2
Norway,NOR,EU,2020,5.38,15,17.53,17.26,49.46,49653,,0.59
Oman,OMN,AS,2020,5.11,16,2.51,22.49,34,308,,2.61
Pakistan,PAK,AS,2020,220.89,287,4.35,34.82,48.54,1438940,,1.98
Palau,PLW,OC,2020,0.02,39,,,,,,0.5
Palestine,PS,AS,2020,4.8,798,3.22,38.36,49.29,2348243,,2.49
Panama,PAN,NA,2020,4.31,58,8.54,26.49,49.94,2562,,1.6
Papua New Guinea,PNG,OC,2020,8.95,20,3.57,35.15,48.94,10781,,1.93
Paraguay,PRY,SA,2020,7.13,18,6.81,28.89,49.19,1686,,1.24
Peru,PER,SA,2020,32.97,26,8.73,24.69,50.33,4272,,1.41
Philippines,PHL,AS,2020,109.58,368,5.51,30.04,49.78,709,,1.35
Poland,POL,EU,2020,37.9,124,18.74,15.22,51.55,2771,,-0.18
Portugal,PRT,EU,2020,10.3,112,22.77,13.05,52.69,2405,,0.11
Puerto Rico,PRI,NA,2020,3.28,370,20.83,15.75,52.62,,,2.71
Qatar,QAT,AS,2020,2.88,251,1.69,13.64,24.85,201,,1.72
Republic of the Congo,COG,AF,2020,5.52,16,2.76,41.27,50.04,27097,,2.53
Romania,ROU,EU,2020,19.26,84,19.23,15.52,51.38,3581,,-0.59
Russia,RUS,EU,2020,144.07,9,15.51,18.36,53.65,20260,,-0.23
Rwanda,RWA,AF,2020,12.95,525,3.12,39.47,50.84,139491,,2.54
Saint Lucia,LCA,NA,2020,0.18,301,10.3,17.95,50.76,,,0.46
Saint Vincent and the Grenadines,VCT,NA,2020,0.11,284,9.91,21.9,49.33,,,0.32
Samoa,WSM,OC,2020,0.2,70,5.08,37.2,48.24,,,0.67
San Marino,SMR,EU,2020,0.03,566,,,,,,0.22
Sao Tome and Principe,STP,AF,2020,0.22,228,3.01,41.76,49.96,,,1.89
Saudi Arabia,SAU,AS,2020,34.81,16,3.5,24.7,42.17,330,,1.58
Senegal,SEN,AF,2020,16.74,87,3.11,42.59,51.2,14361,,2.71
Serbia,SRB,EU,2020,6.9,79,19.06,15.37,51.02,26085,,-0.67
Seychelles,SYC,AF,2020,0.1,214,8.07,23.77,48.71,,,0.85
Sierra Leone,SLE,AF,2020,7.98,111,2.93,40.34,50.09,342,,2.07
