Country,Code,ContinentCode,Year,Rule of law index (-2.5 weak; 2.5 strong),Government effectiveness index (-2.5 weak; 2.5 strong),Control of corruption (-2.5 weak; 2.5 strong),Regulatory quality index (-2.5 weak; 2.5 strong),Voice and accountability index (-2.5 weak; 2.5 strong),Political stability index (-2.5 weak; 2.5 strong),Corruption Perceptions Index 100 = no corruption,Political rights index 7 (weak) - 1 (strong),Civil liberties index 7 (weak) - 1 (strong) 
China,CHN,AS,2021,0.04,0.84,0.05,-0.31,-1.64,-0.48,45,,
Colombia,COL,SA,2020,-0.48,0.04,-0.23,0.24,0.15,-0.66,39,3,3
Colombia,COL,SA,2021,-0.45,-0.01,-0.34,0.22,0.1,-0.91,39,,
Comoros,COM,AF,2020,-1.25,-1.62,-1.18,-1.24,-0.76,-0.27,21,4,4
Comoros,COM,AF,2021,-1.22,-1.79,-1.29,-1.25,-0.74,-0.23,20,,
Costa Rica,CRC,NA,2020,0.52,0.23,0.69,0.49,1.12,0.77,57,1,1
Costa Rica,CRC,NA,2021,0.45,0.26,0.5,0.46,1.09,0.87,58,,
Croatia,HRV,EU,2020,0.26,0.46,0.2,0.37,0.58,0.61,47,1,2
Croatia,HRV,EU,2021,0.3,0.59,0.06,0.5,0.61,0.71,47,,
Cuba,CUB,NA,2020,,,,,,,47,7,6
Cuba,CUB,NA,2021,,,,,,,46,,
Cyprus,CYP,EU,2020,0.57,0.88,0.37,1,0.91,0.31,57,1,1
Cyprus,CYP,EU,2021,0.64,0.74,0.39,0.86,0.87,0.44,53,,
Czechia,CZE,EU,2020,1.05,0.95,0.58,1.24,0.98,0.92,54,1,1
Czechia,CZE,EU,2021,1.13,1.11,0.64,1.35,1.02,0.96,54,,
Democratic Republic of the Congo,COD,AF,2020,-1.8,-1.71,-1.57,-1.49,-1.27,-1.74,18,7,6
Democratic Republic of the Congo,COD,AF,2021,-1.7,-1.72,-1.55,-1.42,-1.2,-1.61,19,,
Denmark,DNK,EU,2020,1.85,1.88,2.27,1.8,1.52,0.95,88,1,1
Denmark,DNK,EU,2021,1.94,2,2.37,1.81,1.56,0.95,88,,
Djibouti,DJI,AF,2020,-1.03,-0.73,-0.73,-0.84,-1.41,-0.45,27,7,5
Djibouti,DJI,AF,2021,-1.01,-0.8,-0.78,-0.87,-1.3,-0.71,30,,
Dominica,DMA,NA,2020,0.81,-0.1,0.59,0.27,0.88,1.36,55,1,1
Dominica,DMA,NA,2021,0.72,-0.09,0.58,0.28,0.82,1.39,55,,
Dominican Republic,DOM,NA,2020,-0.16,-0.25,-0.73,0.04,0.24,0.16,28,3,3
Dominican Republic,DOM,NA,2021,-0.1,0.03,-0.57,0.09,0.3,0.14,30,,
Ecuador,ECU,SA,2020,-0.52,-0.45,-0.48,-0.85,-0.01,-0.27,39,3,3
Ecuador,ECU,SA,2021,-0.34,-0.21,-0.57,-0.7,0.11,-0.27,36,,
Egypt,EGY,AF,2020,-0.31,-0.42,-0.79,-0.56,-1.48,-1.17,33,6,6
Egypt,EGY,AF,2021,-0.24,-0.43,-0.68,-0.51,-1.51,-1.02,33,,
El Salvador,SLV,NA,2020,-0.75,-0.23,-0.56,-0.07,0.07,-0.12,36,2,4
El Salvador,SLV,NA,2021,-0.85,-0.31,-0.53,-0.34,-0.06,-0.21,34,,
Equatorial Guinea,GNQ,AF,2020,-1.16,-1.19,-1.52,-1.7,-1.81,-0.23,16,7,7
Equatorial Guinea,GNQ,AF,2021,-1.2,-1.16,-1.57,-1.71,-1.72,-0.29,17,,
Eritrea,ERI,AF,2020,-1.49,-1.62,-1.32,-2.14,-2.07,-0.98,21,7,7
Eritrea,ERI,AF,2021,-1.57,-1.68,-1.24,-2.27,-1.93,-1.01,22,,
Estonia,EST,EU,2020,1.37,1.33,1.61,1.54,1.17,0.72,75,1,1
Estonia,EST,EU,2021,1.43,1.38,1.54,1.56,1.19,0.76,74,,
Ethiopia,ETH,AF,2020,-0.39,-0.55,-0.36,-0.96,-1.04,-1.76,38,6,6
Ethiopia,ETH,AF,2021,-0.61,-0.61,-0.4,-0.93,-1.07,-2.07,39,,
Fiji,FJI,OC,2020,0.22,0.55,0.64,-0.1,0.03,0.68,,3,3
Fiji,FJI,OC,2021,0.31,0.62,0.47,-0,-0.15,0.67,,,
Finland,FIN,EU,2020,2.07,1.94,2.2,1.86,1.61,1.01,85,1,1
Finland,FIN,EU,2021,2.06,1.96,2.27,1.9,1.62,0.98,88,,
France,FRA,EU,2020,1.32,1.24,1.15,1.2,1.07,0.32,69,1,2
France,FRA,EU,2021,1.29,1.27,1.31,1.24,1.12,0.37,71,,
Gabon,GAB,AF,2020,-0.67,-0.97,-0.87,-0.87,-0.98,-0.07,30,7,5
Gabon,GAB,AF,2021,-0.7,-0.78,-0.85,-0.81,-0.89,-0.09,31,,
Gambia,GMB,AF,2020,-0.38,-0.75,-0.4,-0.74,-0.2,0.26,37,4,4
Gambia,GMB,AF,2021,-0.39,-0.64,-0.36,-0.87,-0.1,0.18,37,,
Georgia,GEO,AS,2020,0.24,0.75,0.63,1.01,0.06,-0.42,56,3,3
Georgia,GEO,AS,2021,0.17,0.65,0.69,1.06,0.02,-0.42,55,,
Germany,DEU,EU,2020,1.55,1.35,1.86,1.59,1.38,0.68,80,1,1
Germany,DEU,EU,2021,1.61,1.33,1.81,1.63,1.43,0.76,80,,
Ghana,GHA,AF,2020,-0.05,-0.17,-0.11,-0.12,0.55,0.18,43,2,2
Ghana,GHA,AF,2021,-0.08,-0.15,-0.11,-0.2,0.47,0.07,43,,
Greece,GRC,EU,2020,0.32,0.44,0.06,0.55,0.97,0.13,50,1,2
Greece,GRC,EU,2021,0.35,0.44,0.21,0.44,0.96,0.15,49,,
Grenada,GRD,NA,2020,0.35,0.03,0.39,-0.11,0.69,1.04,53,1,2
Grenada,GRD,NA,2021,0.51,0.03,0.52,0.29,0.73,1.04,53,,
Guatemala,GTM,NA,2020,-1.08,-0.69,-1.11,-0.26,-0.38,-0.42,25,4,4
Guatemala,GTM,NA,2021,-1.09,-0.75,-1.17,-0.32,-0.46,-0.39,25,,
Guinea,GIN,AF,2020,-1.27,-0.94,-0.95,-0.86,-0.92,-0.67,28,5,5
Guinea,GIN,AF,2021,-1.13,-0.92,-1,-0.96,-0.99,-0.97,25,,
Guinea-Bissau,GNB,AF,2020,-1.38,-1.45,-1.34,-1.27,-0.45,-0.73,19,5,4
Guinea-Bissau,GNB,AF,2021,-1.44,-1.42,-1.3,-1.26,-0.24,-0.28,21,,
Guyana,GUY,SA,2020,-0.42,-0.42,-0.15,-0.53,0.22,-0.14,41,2,3
Guyana,GUY,SA,2021,-0.4,-0.24,-0.17,-0.52,0.25,-0.14,39,,
Haiti,HTI,NA,2020,-1.02,-2.09,-1.33,-1.24,-0.84,-1.03,18,5,5
Haiti,HTI,NA,2021,-1.25,-2.19,-1.42,-1.32,-0.95,-1.1,20,,
Honduras,HND,NA,2020,-0.99,-0.61,-0.97,-0.48,-0.62,-0.47,24,4,4
Honduras,HND,NA,2021,-1.07,-0.78,-1.07,-0.52,-0.59,-0.61,23,,
Hong Kong,HKG,AS,2020,1.58,1.65,1.65,1.79,0.04,0.09,77,5,3
Hong Kong,HKG,AS,2021,1.45,1.53,1.71,1.58,-0.21,0.26,76,,
Hungary,HUN,EU,2020,0.51,0.57,0.09,0.48,0.39,0.84,44,3,3
Hungary,HUN,EU,2021,0.53,0.63,0.04,0.5,0.4,0.86,43,,
Iceland,ISL,EU,2020,1.79,1.51,1.7,1.45,1.39,1.38,75,1,1
Iceland,ISL,EU,2021,1.75,1.64,1.79,1.53,1.37,1.37,74,,
India,IND,AS,2020,-0.03,0.41,-0.27,-0.11,0.15,-0.81,40,2,3
India,IND,AS,2021,-0.08,0.28,-0.29,-0.08,0.11,-0.62,40,,
Indonesia,IDN,AS,2020,-0.33,0.35,-0.43,0.23,0.1,-0.45,37,2,4
Indonesia,IDN,AS,2021,-0.22,0.38,-0.43,0.3,0.16,-0.51,38,,
Iran,IRN,AS,2020,-0.87,-0.99,-1.09,-1.47,-1.48,-1.7,25,6,6
